category,sub_category,city,name,area,address,phone_no_1,phone_no2,source,ratings,state,country,email,latitude,longitude,reviews,facebook_url,linkdin_url,twitter_url,description,pincode,virtual_phone_no,whatsapp_no,phone_no_3,avg_spent,cost_of_two
Shopping,mobile store,Kanigiri,Cell Park Mobile Repairing Store (Mastan Vali),"Prakasam Rd, Kanigiri","Prakasam Rd, Kanigiri, Andhra Pradesh 523230",,,,,Andhra Pradesh,India,,,,,,,,,523230.0,,,,,
Shopping,mobile store,Kanigiri,"Manasvi mobile's, (sale's and service)","CG35+W97, Karanam Bazar Rd","CG35+W97, Karanam Bazar Rd, Kothapeta, Kanigiri, Andhra Pradesh 523230",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: CG35+W97,523230.0,,,,,
Shopping,mobile store,Kanigiri,Star Mobiles sales & servicing,"MSR Rd, Kanigiri","MSR Rd, Kanigiri, Andhra Pradesh 523230",,,,,Andhra Pradesh,India,,,,,,,,,523230.0,,,,,
Shopping,mobile store,Kanigiri,Sai Agencies Mobile Accessories,"CG34+XQ8, Kothapeta","CG34+XQ8, Kothapeta, Kanigiri, Andhra Pradesh 523230",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: CG34+XQ8,523230.0,,,,,
Shopping,mobile store,Kanigiri,jio office,"CG43+GXX, Garlapet Rd","CG43+GXX, Garlapet Rd, Kanigiri, Andhra Pradesh 523230",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: CG43+GXX,523230.0,,,,,
Shopping,mobile store,Kanigiri,Srinivas Mobile s Shop,"Shop No 25 Cheppula, Jawaharlal St","Shop No 25 Cheppula, Jawaharlal St, Kanigiri, Andhra Pradesh 523230",,,,,Andhra Pradesh,India,,,,,,,,,523230.0,,,,,
Shopping,mobile store,Kanigiri,Sri Venkata Sathish Mobile s,"Shop No 55, Cheppula Street","Shop No 55, Cheppula Street, Kanigiri, Andhra Pradesh 523230",,,,,Andhra Pradesh,India,,,,,,,,,523230.0,,,,,
Shopping,mobile store,Kanigiri,The Mobile Store,"MSR Rd, Kanigiri","MSR Rd, Kanigiri, Andhra Pradesh 523230",,,,,Andhra Pradesh,India,,,,,,,,,523230.0,,,,,
Shopping,mobile store,Koilkuntla,Arun mobiles,"Besides raghavendra sweets, RTC Bus Stand Rd","Besides raghavendra sweets, RTC Bus Stand Rd, Koilkuntla, Andhra Pradesh 518134",,,,,Andhra Pradesh,India,,,,,,,,,518134.0,,,,,
Shopping,mobile store,Koilkuntla,Shashi Mobailes,"2-32, Nagulakatta Street","2-32, Nagulakatta Street, Koilkuntla, Andhra Pradesh 518543",,,,,Andhra Pradesh,India,,,,,,,,,518543.0,,,,,
Shopping,mobile store,Koilkuntla,New Thahir Moblie Shop,"APSRTC Bus Stand Rd, Koilkuntla","APSRTC Bus Stand Rd, Koilkuntla, Andhra Pradesh 518134",,,,,Andhra Pradesh,India,,,,,,,,,518134.0,,,,,
Shopping,mobile store,Koilkuntla,Khaja Watch Centre & Mobiles,"10, R.T.C. Rd","10, R.T.C. Rd, Seetharama Nagar, Koilkuntla, Andhra Pradesh 518134",,,,,Andhra Pradesh,India,,,,,,,,,518134.0,,,,,
Shopping,mobile store,Koilkuntla,Bilal mobile garage,"68J8+24G, opposite Slvt theatre","68J8+24G, opposite Slvt theatre, Koilkuntla, Andhra Pradesh 518134",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: 68J8+24G,518134.0,,,,,
Shopping,mobile store,Koilkuntla,SUNNY MOBILE SERVICE,"SLV THEATRE, Rangaraju Peta","SLV THEATRE, Rangaraju Peta, Koilkuntla, Andhra Pradesh 518134",,,,,Andhra Pradesh,India,,,,,,,,,518134.0,,,,,
Shopping,mobile store,Koilkuntla,Fayaz mobile,"1/12, near Chowdamma Temple","1/12, near Chowdamma Temple, Santhapeta, Koilkuntla, Andhra Pradesh 518112",,,,,Andhra Pradesh,India,,,,,,,,,518112.0,,,,,
Shopping,mobile store,Kothapeta Taluk,Lakshmi Srinivasa Mobiles,"Main Road, near RDO office","Main Road, near RDO office, beside bakery, Kothapeta, Vadapalem, Kothapeta, Andhra Pradesh 533223",,,,,Andhra Pradesh,India,,,,,,,,,533223.0,,,,,
Shopping,mobile store,Kothapeta Taluk,Ratnam mobiles,"Kothapeta, Andhra Pradesh 533223","Kothapeta, Andhra Pradesh 533223",,,,,Andhra Pradesh,India,,,,,,,,,533223.0,,,,,
Shopping,mobile store,Kothapeta Taluk,JANI CELL POINT,"Sanakkayala Factory Rd, behind ranga bomma","Sanakkayala Factory Rd, behind ranga bomma, Kothapeta, Guntur, Andhra Pradesh 522001",,,,,Andhra Pradesh,India,,,,,,,,,522001.0,,,,,
Shopping,mobile store,Kothapeta Taluk,Ram Mobiles,"PV7W+PF5, Kothapeta","PV7W+PF5, Kothapeta, Andhra Pradesh 533223",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: PV7W+PF5,533223.0,,,,,
Shopping,mobile store,Kothapeta Taluk,Sai Durga Mobiles,"PV8W+CP8, Panchayati Rd","PV8W+CP8, Panchayati Rd, Kothapeta, Andhra Pradesh 533223",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: PV8W+CP8,533223.0,,,,,
Shopping,mobile store,Kotturu Mandal,Amma Mobiles,"QVHH+C3F, Kotturu","QVHH+C3F, Kotturu, Andhra Pradesh 532455",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: QVHH+C3F,532455.0,,,,,
Shopping,mobile store,Kotturu Mandal,A1 Mobiles,"Nethaji Nagar Last Rd, Nethaji Nagar Colony","Nethaji Nagar Last Rd, Nethaji Nagar Colony, Kotturu, Andhra Pradesh 532455",,,,,Andhra Pradesh,India,,,,,,,,,532455.0,,,,,
Shopping,mobile store,Kotturu Mandal,Kishore Cell Point,"Beside police station, Kotturu","Beside police station, Kotturu, Andhra Pradesh 532455",,,,,Andhra Pradesh,India,,,,,,,,,532455.0,,,,,
Shopping,mobile store,Kotturu Mandal,JSM MOBILE'S,"74, Andhra Pradesh 532001","74, Andhra Pradesh 532001",,,,,Andhra Pradesh,India,,,,,,,,,532001.0,,,,,
Shopping,mobile store,Nallajarlamandalam,Mobile Hut,"Bus Stop, Eluru","Bus Stop, Eluru, GNT Road, Nallajerla, Andhra Pradesh 534112",,,,,Andhra Pradesh,India,,,,,,,,,534112.0,,,,,
Shopping,mobile store,Nallajarlamandalam,Harsha mobiles,"WCX5+RQ7, Nallajerla","WCX5+RQ7, Nallajerla, Andhra Pradesh 534112",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: WCX5+RQ7,534112.0,,,,,
Shopping,mobile store,Nallajarlamandalam,NK MOBILES,"GNT Road, Nallajerla","GNT Road, Nallajerla, Andhra Pradesh 534112",,,,,Andhra Pradesh,India,,,,,,,,,534112.0,,,,,
Shopping,mobile store,Nallajarlamandalam,Selfie Mobiles Nallajela,"1-37-3/3 near, opposite Apollo Pharmacy","1-37-3/3 near, opposite Apollo Pharmacy, Nallajerla, Andhra Pradesh 534112",,,,,Andhra Pradesh,India,,,,,,,,,534112.0,,,,,
Shopping,mobile store,Nallajarlamandalam,SRI SAI DURGA AGENCY CELL WORLD,"Opp: Old petrol bunk,main road","Opp: Old petrol bunk,main road, NTR Colony, Nallajerla, Andhra Pradesh 534112",,,,,Andhra Pradesh,India,,,,,,,,,534112.0,,,,,
Shopping,mobile store,Nindra,DJ. Kerana shop,"9PM3+5XR, Nindra","9PM3+5XR, Nindra, Andhra Pradesh 517591",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: 9PM3+5XR,517591.0,,,,,
Shopping,mobile store,Nindra,CELL 9 Mobile Store Church Street 1 - Best Mobile Store in Chittoor,"18-910, Church St","18-910, Church St, Mittoor, Chittoor, Andhra Pradesh 517001",,,,,Andhra Pradesh,India,,,,,,,,,517001.0,,,,,
Shopping,mobile store,Nindra,J.N.MOBILE SHOP,"5HVC+JJM, Gandrajupalle","5HVC+JJM, Gandrajupalle, Andhra Pradesh 517432",,,,,Andhra Pradesh,India,,,,,,,,Google Plus Code: 5HVC+JJM,517432.0,,,,,
