id,name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area,created_at
1,𝐀𝐑𝐒 𝐃𝐈𝐆𝐈𝐓𝐀𝐋 𝐌𝐀𝐑𝐊𝐄𝐓𝐈𝐍𝐆 # Chirala,"Venugopala Swamy Temple Road, Junction",,090107 38078,4,5.0,SEO Services,Marketing agency,Chirala,Andhra Pradesh,Venugopala Swamy Temple Road,2025-12-03 14:46:37
2,SEO agency,"Permanently closed] R9P7+8RC, behind Balaji theatre",,,1,2.0,SEO Services,Marketing agency,Chirala,Andhra Pradesh,R9P7+8RC,2025-12-03 14:46:37
3,SEO agency,"Permanently closed] R9R7+8J3, behind Balaji theatre",,,0,0.0,SEO Services,Marketing agency,Chirala,Andhra Pradesh,R9R7+8J3,2025-12-03 14:46:37
4,𝐀𝐑𝐒 𝐃𝐈𝐆𝐈𝐓𝐀𝐋 𝐌𝐀𝐑𝐊𝐄𝐓𝐈𝐍𝐆 # Chirala,"Venugopala Swamy Temple Road, Junction",,090107 38078,4,5.0,SEO Services,Marketing agency,Chirala,Andhra Pradesh,Venugopala Swamy Temple Road,2025-12-03 14:46:37
5,SEO agency,"Permanently closed] R9P7+8RC, behind Balaji theatre",,,1,2.0,SEO Services,Marketing agency,Chirala,Andhra Pradesh,R9P7+8RC,2025-12-03 14:46:37
6,SEO agency,"Permanently closed] R9R7+8J3, behind Balaji theatre",,,0,0.0,SEO Services,Marketing agency,Chirala,Andhra Pradesh,R9R7+8J3,2025-12-03 14:46:37
7,Sunraise Solutions,"2nd Floor, Door No.69, 10-10, CTRI Rd",,090632 55632,168,4.8,SEO Services,Internet marketing service,Nallajarlamandalam,Andhra Pradesh,2nd Floor,2025-12-03 14:46:38
8,Honey Web Solutions,099666 10390,,099666 10390,25,5.0,SEO Services,Internet marketing service,Nallajarlamandalam,Andhra Pradesh,099666 10390,2025-12-03 14:46:38
9,Djital Services,"Permanently closed] rajshekar complex, beside sri sai ambica apartments",,085007 07175,0,0.0,SEO Services,Internet marketing service,Nallajarlamandalam,Andhra Pradesh,rajshekar complex,2025-12-03 14:46:38
10,Sunraise Solutions,"2nd Floor, Door No.69, 10-10, CTRI Rd",,090632 55632,168,4.8,SEO Services,Internet marketing service,Nallajarlamandalam,Andhra Pradesh,2nd Floor,2025-12-03 14:46:38
11,Honey Web Solutions,099666 10390,,099666 10390,25,5.0,SEO Services,Internet marketing service,Nallajarlamandalam,Andhra Pradesh,099666 10390,2025-12-03 14:46:38
12,Djital Services,"Permanently closed] rajshekar complex, beside sri sai ambica apartments",,085007 07175,0,0.0,SEO Services,Internet marketing service,Nallajarlamandalam,Andhra Pradesh,rajshekar complex,2025-12-03 14:46:38
13,Ps Digital Marketing,"1-19, Katrapadu, Andhra Pradesh 522017",https://psdigitalmarketingagency.com/,094905 45589,0,4.9,SEO Services,,Kothapeta Taluk,Andhra Pradesh,1-19,2025-12-03 14:46:39
14,Ratnam Solutions,"Flat No 301, 3rd Floor, JB Shashi Arcade Building, Plot no 481, JNTU Rd, beside KS Bakers",,087905 23012,34,4.8,SEO Services,Internet marketing service,Rayadurg,Andhra Pradesh,Flat No 301,2025-12-03 14:46:39
15,swaroop digitals,"Permanently closed] 16/3/359, Railway Station Road",,,0,0.0,SEO Services,Marketing consultant,Rayadurg,Andhra Pradesh,16/3/359,2025-12-03 14:46:39
16,S B Digitals,Permanently closed] Mallikethi,,,0,0.0,SEO Services,Money transfer service,Rayadurg,Andhra Pradesh,Mallikethi,2025-12-03 14:46:39
17,Ratnam Solutions,"Flat No 301, 3rd Floor, JB Shashi Arcade Building, Plot no 481, JNTU Rd, beside KS Bakers",,087905 23012,34,4.8,SEO Services,Internet marketing service,Rayadurg,Andhra Pradesh,Flat No 301,2025-12-03 14:46:39
18,swaroop digitals,"Permanently closed] 16/3/359, Railway Station Road",,,0,0.0,SEO Services,Marketing consultant,Rayadurg,Andhra Pradesh,16/3/359,2025-12-03 14:46:39
19,S B Digitals,Permanently closed] Mallikethi,,,0,0.0,SEO Services,Money transfer service,Rayadurg,Andhra Pradesh,Mallikethi,2025-12-03 14:46:39
20,ASE Technologies,"LIG-A85, SBI side lane, North Extension, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",https://asetechnologies.in/,087126 55512,0,4.6,SEO Services,,Settur,Andhra Pradesh,LIG-A85,2025-12-03 14:46:40
21,NIYAZ TECHNOLOGIES,"4th, right cross railway gate oppsite, Renigunta Rd",,083309 67311,77,4.9,SEO Services,Internet marketing service,Chandragiri,Andhra Pradesh,4th,2025-12-03 14:46:40
22,"Anuhya Digital Services Pvt ltd - Salesforce CRM Implementation, Web Design, SEO and Map Optimisation","Flat no 401, Sri Pradha hills",,096668 44498,10,5.0,SEO Services,Website designer,Chandragiri,Andhra Pradesh,Flat no 401,2025-12-03 14:46:40
