category,sub_category,city,name,area,address,phone_no_1,phone_no_2,source,ratings,state,country,email,latitude,longitude,reviews,facebook_url,linkedin_url,twitter_url,description,pincode,virtual_phone_no,whatsapp_no,phone_no_3,avg_spent,cost_for_two
Shopping,Boutiques,Kothapeta Taluk,Choutra Center,"21-2-43, Cloth Bazaar","21-2-43, Cloth Bazaar, Lalapet, Guntur, Andhra Pradesh 522003",070973 07246,,,,Andhra Pradesh,India,,,,3.9,,,,,522003,,,,,
Shopping,Boutiques,Kothapeta Taluk,Behual FASHIONS,"Koushik, 7/97 Near Church Road","Koushik, 7/97 Near Church Road, Street, Kothapeta, Andhra Pradesh 533223",091005 46567,,,,Andhra Pradesh,India,,,,,,,,,533223,,,,,
Shopping,Boutiques,Kothapeta Taluk,Sri Vaishnavi Readymades,"Shop 2-7, Kothapeta","Shop 2-7, Kothapeta, Andhra Pradesh 533223",099494 49156,,,,Andhra Pradesh,India,,,,5,,,,,533223,,,,,
Shopping,Boutiques,Kotturu Mandal,LIFESTYLE TAILORS,"04, Kotturu - Srikakulam Rd","04, Kotturu - Srikakulam Rd, Srikakulam, Kotturu, Andhra Pradesh 532001",083281 52224,,,,Andhra Pradesh,India,,,,5,,,,,532001,,,,,
Shopping,Boutiques,Kotturu Mandal,LMR Designer Boutique,"C29P+VJV, Gottipalle","C29P+VJV, Gottipalle, Andhra Pradesh 532421",,,,,Andhra Pradesh,India,,,,5,,,,,532421,,,,,
Shopping,Boutiques,Kotturu Mandal,Sweta's Boutique,"D.NO. 11, 10-2","D.NO. 11, 10-2, CHAMPAGALLI STREET, Bahadurlapeta, Srikakulam, Andhra Pradesh 532001",,,,,Andhra Pradesh,India,,,,3.5,,,,,532001,,,,,
Shopping,Boutiques,Kotturu Mandal,Patanjali Gramin Arogya Kendra,"Ground Floor, Nethaji Nagar Colony","Ground Floor, Nethaji Nagar Colony, Mandal, Kotturu, Andhra Pradesh 532455",094403 47699,,patanjaliayurved.net,,Andhra Pradesh,India,,,,5,,,,,532455,,,,,
Shopping,Boutiques,Nallajarlamandalam,Samyuthaa fashions,"Saibaba temple, Eluru Rd","Saibaba temple, Eluru Rd, opposite Nallajerla, Nallajerla, Andhra Pradesh 534112",098666 95009,,,,Andhra Pradesh,India,,,,5,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,Samyukthaa Designer Boutique,"Saibaba temple, Eluru Rd","Saibaba temple, Eluru Rd, opposite Nallajerla, Nallajerla, Andhra Pradesh 534112",098666 95009,,,,Andhra Pradesh,India,,,,5,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,RAMYA SRI SAREES & MATCHING,"Shop No 1, Nallajerla","Shop No 1, Nallajerla, Andhra Pradesh 534112",093988 88926,,,,Andhra Pradesh,India,,,,4.1,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,Ramyasri Cloth & Readymades,"Shop No 1, Nallajerla","Shop No 1, Nallajerla, Andhra Pradesh 534112",093988 88926,,,,Andhra Pradesh,India,,,,4.1,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,Tirumala Creations,"W9VX+GM2, Nallajerla","W9VX+GM2, Nallajerla, Andhra Pradesh 534112",,,,,Andhra Pradesh,India,,,,4.2,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,PS fashions NALLAJERLA,"Nallajerla, Andhra Pradesh 534112","Nallajerla, Andhra Pradesh 534112",098499 30519,,,,Andhra Pradesh,India,,,,5,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,JK garments,"Nallajerla, Andhra Pradesh 534112","Nallajerla, Andhra Pradesh 534112",098499 30519,,,,Andhra Pradesh,India,,,,5,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,Sreekari Cloth Emporium,"Nallajerla, Andhra Pradesh 534112","Nallajerla, Andhra Pradesh 534112",098499 30519,,,,Andhra Pradesh,India,,,,5,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,Sri Venkateswara Cloth Store,"WCX5+G77, Eluru Rd","WCX5+G77, Eluru Rd, Nallajerla, Andhra Pradesh 534112",088182 77214,,,,Andhra Pradesh,India,,,,4,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,Nallajerla,"WCX5+G77, Eluru Rd","WCX5+G77, Eluru Rd, Nallajerla, Andhra Pradesh 534112",088182 77214,,,,Andhra Pradesh,India,,,,4,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,Sri venkateswara SV Mart,"WCX5+G2F, GNT Road","WCX5+G2F, GNT Road, NTR Colony, Nallajerla, Andhra Pradesh 534112",,,,,Andhra Pradesh,India,,,,4.4,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,Lakshmi Botique,"WCX5+G2F, GNT Road","WCX5+G2F, GNT Road, NTR Colony, Nallajerla, Andhra Pradesh 534112",,,,,Andhra Pradesh,India,,,,4.4,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,Nallajarla,"WCX3+5RF, Nallajerla","WCX3+5RF, Nallajerla, Andhra Pradesh 534112",,,,,Andhra Pradesh,India,,,,3.4,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,SPN COLLECTIONS,"WCX3+5RF, Nallajerla","WCX3+5RF, Nallajerla, Andhra Pradesh 534112",,,,,Andhra Pradesh,India,,,,3.4,,,,,534112,,,,,
Shopping,Boutiques,Nallajarlamandalam,JB Designer Boutique,"Vardhineedu vijay kumar street, beside Trinadh Life Style","Vardhineedu vijay kumar street, beside Trinadh Life Style, Ramachandra Rao Pet, Eluru, Andhra Pradesh 534002",,,,,Andhra Pradesh,India,,,,4.9,,,,,534002,,,,,
Shopping,Boutiques,Nallajarlamandalam,Vastralankar boutique,"Vardhineedu vijay kumar street, beside Trinadh Life Style","Vardhineedu vijay kumar street, beside Trinadh Life Style, Ramachandra Rao Pet, Eluru, Andhra Pradesh 534002",,,,,Andhra Pradesh,India,,,,4.9,,,,,534002,,,,,
