category,sub_category,city,name,area,address,phone_no_1,phone_no_2,source,ratings,state,country,email,latitude,longitude,reviews,facebook_url,linkdin_url,twitter_url,description,pincode,virtual_phone_no,whatsapp_no,phone_no_3,avg_spent,cost_for_two,facebook_Url,linkdin_Url,twitter_Url,phone_no_1.1,linkedin_url
medical store,,Tadepalligudem Mandalam,Sri Lakshmi Ganesh Medical Stores,"Jubilee road, Ramarao Peta","Jubilee road, Ramarao Peta, Tadepalligudem, Andhra Pradesh 534101",,,,,Andhra Pradesh,India,,,,,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,Eswara Sai Medicals,"Koti Bomma Center Rd, Subbaraopet","Koti Bomma Center Rd, Subbaraopet, Tadepalligudem, Andhra Pradesh 534101",098482 59977,,,,Andhra Pradesh,India,,,,5.0,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,CHANDINI MEDICAL STORES,"3-1-87, Weakers Colony","3-1-87, Weakers Colony, Subbaraopet, Tadepalligudem, Andhra Pradesh 534101",093469 98928,,,,Andhra Pradesh,India,,,,5.0,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,SRI PAVAN MEDICAL & FANCY STORES,"Kadakatla Rd, Housing Board Colony","Kadakatla Rd, Housing Board Colony, Tadepalligudem, Andhra Pradesh 534101",096523 11456,,,,Andhra Pradesh,India,,,,5.0,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,Sri Lakshmi Ganapathi medical and fancy store,"DOOR NO : 2-18 , NEAR VINAYAKA TEMPLE Chinatadepalli","DOOR NO : 2-18 , NEAR VINAYAKA TEMPLE Chinatadepalli, Tadepalligudem, Andhra Pradesh 534101",094411 71484,,,,Andhra Pradesh,India,,,,4.0,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,MedPlus KN Road Tadepalligudem,"D No, Revenue Word No 12","D No, Revenue Word No 12, 1-39-9, Seetarampeta, Venkatasubbayya Colony, Tadepalligudem, Andhra Pradesh 534102",093914 17547,,medplusmart.com,,Andhra Pradesh,India,,,,,,,,,534102.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,Satya Sri Medical Store,"RG6G+RPQ, Ramarao Peta","RG6G+RPQ, Ramarao Peta, Tadepalligudem, Andhra Pradesh 534101",,,,,Andhra Pradesh,India,,,,5.0,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,SRI SAI BALAJI MEDICAL AND GENERAL STORE,"Near Seshamahal Thearter, Sheshamahal Rd","Near Seshamahal Thearter, Sheshamahal Rd, Tadepalligudem, Andhra Pradesh 534101",093955 31969,,,,Andhra Pradesh,India,,,,,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,Sri Venkata Durga Medical Stores,"Tadepalligudem - Nallajerla Rd, Housing Board Colony","Tadepalligudem - Nallajerla Rd, Housing Board Colony, Tadepalligudem, Andhra Pradesh 534101",094901 10890,,,,Andhra Pradesh,India,,,,,,,,,534101.0,,,,,,,,,,
medical store,,Tadepalligudem Mandalam,LAKSHMI ARDHYA MEDICAL SHOP,"Gandhi Bomma Center, Indira Nagar Rd","Gandhi Bomma Center, Indira Nagar Rd, Karri Satyavathi Nagar, Tadepalligudem, Andhra Pradesh 534101",078938 39303,,,,Andhra Pradesh,India,,,,,,,,,534101.0,,,,,,,,,,
